battery_name,cycle,avg_voltage_measured,avg_current_measured,avg_temp_measured,capacity_Ah
b0005,1,3.529828669,-1.818701964,32.57232811,1.86195195
b0005,3,3.537320128,-1.817559851,32.72523523,1.85183404
b0005,5,3.543736728,-1.816486542,32.64286194,1.840798717
b0005,7,3.543666107,-1.825589194,32.51487646,1.840688492
b0005,9,3.542343253,-1.826113959,32.38234902,1.840086838
b0005,11,3.541334735,-1.816810874,32.43418218,1.841099358
b0005,13,3.54102505,-1.816791145,32.48041644,1.840586255
b0005,15,3.554133297,-1.844341212,32.41046186,1.831154137
b0005,17,3.552935599,-1.853972746,32.34614083,1.830223381
b0005,19,3.551205732,-1.853589934,32.27679751,1.829999493
