Std,ID,Material,Heat treatment,Su,Sy,A5,Bhn,E,G,mu,Ro,pH,Desc,HV,Strength_Hardness,Strength_Ductility,Strength_Weight,Strength_Hardness_Rank,Strength_Ductility_Rank,Strength_Weight_Rank
ANSI,D8894772B88F495093C43AF905AB6373,Steel SAE 1015,as-rolled,421.0,314.0,37.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,1.9400921658986174,15577.0,0.05356234096692112,185.0,97.0,375.0
ANSI,05982AC66F064F9EBC709E7A4164613A,Steel SAE 1015,normalized,424.0,324.0,37.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,1.9539170506912442,15688.0,0.0539440203562341,183.0,94.0,374.0
ANSI,356D6E63FF9A49A3AB23BF66BAC85DC3,Steel SAE 1015,annealed,386.0,284.0,37.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,1.7788018433179724,14282.0,0.04910941475826972,196.0,136.0,407.0
ANSI,1C758F8714AC4E0D9BD8D8AE1625AECD,Steel SAE 1020,as-rolled,448.0,331.0,36.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.064516129032258,16128.0,0.056997455470737916,176.0,85.0,355.0
ANSI,DCE10036FC1946FC8C9108D598D116AD,Steel SAE 1020,normalized,441.0,346.0,35.8,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.032258064516129,15787.8,0.056106870229007635,177.0,92.0,360.0
ANSI,2EC038241908434FA714FEEBE24DDEFE,Steel SAE 1020,annealed,395.0,295.0,36.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,1.8202764976958525,14417.5,0.05025445292620865,192.0,130.0,400.0
ANSI,356B183DD9E34A1C80A5028D43B9E149,Steel SAE 1022,as-rolled,503.0,359.0,35.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.3179723502304146,17605.0,0.06399491094147583,155.0,49.0,313.0
ANSI,95CB82FA86314D8490932A9E740744E3,Steel SAE 1022,normalized,483.0,359.0,34.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.225806451612903,16422.0,0.061450381679389314,162.0,76.0,330.0
ANSI,942333E2D11B4C2CA0B9DFD6D1CE38E0,Steel SAE 1022,annealed,450.0,317.0,35.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.0737327188940093,15750.0,0.05725190839694656,175.0,93.0,354.0
ANSI,5E035DD0692F47E3A92EB298101AA124,Steel SAE 1030,as-rolled,552.0,345.0,32.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.543778801843318,17664.0,0.07022900763358779,140.0,48.0,275.0
ANSI,8C9BE76E417841C3B821D4776B498039,Steel SAE 1030,normalized,517.0,345.0,32.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.3824884792626726,16544.0,0.06577608142493639,152.0,72.0,304.0
ANSI,39E235137DD74F3CA35EA024AFD04964,Steel SAE 1030,annealed,464.0,341.0,31.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.1382488479262673,14384.0,0.059033078880407125,171.0,133.0,343.0
ANSI,436484F7350147F7A2982D1410FB03CC,Steel SAE 1030,tempered at 400 F,848.0,648.0,17.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.9078341013824884,14416.0,0.1078880407124682,49.0,131.0,89.0
ANSI,65BF7EFEEAE24296AC60198D15FCEFD6,Steel SAE 1040,as-rolled,621.0,414.0,25.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.8617511520737327,15525.0,0.07900763358778626,115.0,99.0,215.0
ANSI,E9134C5FCB8C41569B3B50315A4D13A5,Steel SAE 1040,normalized,590.0,374.0,28.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.71889400921659,16520.0,0.07506361323155217,123.0,73.0,242.0
ANSI,CEEFEC39D52C4CBC9FD7A599BF6E4078,Steel SAE 1040,annealed,519.0,353.0,30.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.391705069124424,15570.0,0.06603053435114503,151.0,98.0,303.0
ANSI,C3F57A34049943E98579CCEF761EE90D,Steel SAE 1040,tempered at 400 F,779.0,593.0,19.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.589861751152074,14801.0,0.09910941475826972,64.0,118.0,119.0
ANSI,6BB34C63B60749ADA2E4522BE8B284E2,Steel SAE 1050,as-rolled,724.0,414.0,20.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.3364055299539173,14480.0,0.09211195928753181,80.0,128.0,144.0
ANSI,5D7646BB490A4A41A0C059C46224189F,Steel SAE 1050,normalized,748.0,427.0,20.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.447004608294931,14960.0,0.09516539440203563,72.0,114.0,133.0
ANSI,4DD78B764534417698C437FBECD1B914,Steel SAE 1050,annealed,636.0,365.0,23.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.9308755760368665,15073.199999999999,0.08091603053435115,107.0,110.0,203.0
ANSI,60F13C35666C4904BB693C60FFC8297E,Steel SAE 1050,tempered at 600 F,979.0,724.0,14.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.511520737327189,13706.0,0.12455470737913486,27.0,151.0,48.0
ANSI,EC7B0B89340448B2A2A9AA29CC77DFB8,Steel SAE 1060,as-rolled,814.0,483.0,17.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.751152073732719,13838.0,0.10356234096692112,58.0,146.0,100.0
ANSI,EDF9BFB1E0D14FADAAFE02B8B7157D69,Steel SAE 1060,normalized,776.0,421.0,18.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.576036866359447,13968.0,0.09872773536895674,65.0,144.0,122.0
ANSI,2A8B4A39AA164951BF57C49A2FD5A8C0,Steel SAE 1060,annealed,626.0,372.0,22.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.8847926267281108,14085.0,0.07964376590330789,113.0,139.0,212.0
ANSI,51BB6C68630743439C326AAF86EA0D7C,Steel SAE 1060,tempered at 600 F,1103.0,779.0,13.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.082949308755761,14339.0,0.14033078880407124,11.0,134.0,20.0
ANSI,677DEA95360F4ED08E9D8BA76BD75254,Steel SAE 1080,as-rolled,965.0,586.0,12.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.447004608294931,11580.0,0.1227735368956743,28.0,212.0,50.0
ANSI,E675A2F2E21E40B8830C1B3F23114D89,Steel SAE 1080,normalized,1010.0,524.0,11.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.654377880184332,11110.0,0.12849872773536897,23.0,231.0,37.0
ANSI,4D3E61A5DD21432FA051902D9F8B4567,Steel SAE 1080,annealed,615.0,376.0,24.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.834101382488479,15190.5,0.07824427480916031,117.0,108.0,220.0
ANSI,CE4812A480FD405E8E0DAA0516695E81,Steel SAE 1080,tempered at 600 F,1252.5,867.5,12.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,15030.0,0.15935114503816794,1.0,112.0,6.0
ANSI,683B75ED3E71416BA59C281AA8342B0A,Steel SAE 1095,as-rolled,965.0,572.0,9.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.447004608294931,8685.0,0.1227735368956743,28.0,372.0,50.0
ANSI,5624C3966397415184BEEE0B6D6EEF68,Steel SAE 1095,normalized,1014.0,500.0,9.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.6728110599078345,9633.0,0.12900763358778625,22.0,313.0,35.0
ANSI,388DD3EB93E1425BACFFD7A927F1E4B1,Steel SAE 1095,annealed,657.0,379.0,13.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.0276497695852536,8541.0,0.08358778625954198,101.0,381.0,187.0
ANSI,18E85A7791694976A24C8E052BD13769,Steel SAE 1095,tempered at 400 F,1252.5,827.0,10.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,12525.0,0.15935114503816794,1.0,176.0,6.0
ANSI,76D2C71250F34F3BB4E20D9795D8FDF9,Steel SAE 1117,as-rolled,487.0,305.0,33.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.2442396313364057,16071.0,0.061959287531806614,161.0,87.0,327.0
ANSI,8F59F91D01774EAD9862D688E8862F62,Steel SAE 1117,normalized,467.0,303.0,33.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.152073732718894,15644.5,0.0594147582697201,170.0,96.0,342.0
ANSI,5412CBE18E014D6CA2349F98FDCB7CF1,Steel SAE 1117,annealed,429.0,279.0,32.8,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,1.976958525345622,14071.199999999999,0.05458015267175573,181.0,140.0,371.0
ANSI,B31ADD3ACE6D429EAED969BF1A48FCE8,Steel SAE 1118,as-rolled,521.0,316.0,32.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.4009216589861753,16672.0,0.06628498727735369,149.0,68.0,301.0
ANSI,14E4B51BED3342A7936E3D09E5E5B406,Steel SAE 1118,normalized,477.0,319.0,33.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.19815668202765,15979.5,0.06068702290076336,164.0,90.0,333.0
ANSI,AEFFF966ED4E441BB320C8A8A4365FFA,Steel SAE 1118,annealed,450.0,284.0,34.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.0737327188940093,15525.0,0.05725190839694656,175.0,99.0,354.0
ANSI,CF27002A1B9448539D2074C9C99A411A,Steel SAE 1137,as-rolled,627.0,379.0,28.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.889400921658986,17556.0,0.07977099236641222,112.0,50.0,211.0
ANSI,B9823642AF7E4A239F39B049736B33CF,Steel SAE 1137,normalized,669.0,396.0,22.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.0829493087557602,15052.5,0.08511450381679389,98.0,111.0,181.0
ANSI,F9E819061E7A4AC799912C9C718136E0,Steel SAE 1137,annealed,584.0,345.0,26.8,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.6912442396313363,15651.2,0.0743002544529262,127.0,95.0,247.0
ANSI,4955B1FBC76643B0A1C62062B4DDDEEB,Steel SAE 1137,tempered at 400 F,1082.0,867.5,5.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.986175115207374,5410.0,0.13765903307888042,13.0,490.0,24.0
ANSI,B0802701EBB749C9AE296C2ACFA172FE,Steel SAE 1141,as-rolled,676.0,359.0,22.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.1152073732718892,14872.0,0.08600508905852418,95.0,116.0,174.0
ANSI,55104F2A46594921B7EA1A69A87AB996,Steel SAE 1141,normalized,707.0,405.0,22.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.2580645161290325,16048.9,0.08994910941475827,84.0,88.0,154.0
ANSI,53A2EC1C4EA24F5AB1E229C4D9E61828,Steel SAE 1141,annealed,598.0,353.0,25.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.7557603686635943,15249.0,0.07608142493638677,122.0,107.0,234.0
ANSI,F013E5DB6E4247368996B896F7B42124,Steel SAE 1141,tempered at 400 F,1252.5,867.5,6.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,7515.0,0.15935114503816794,1.0,426.0,6.0
ANSI,E766C49F05B941258F0D26D634F9B09C,Steel SAE 1144,as-rolled,703.0,421.0,21.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.23963133640553,14763.0,0.08944020356234096,86.0,120.0,158.0
ANSI,A6957B64C23249A9B9098108B8822ABD,Steel SAE 1144,normalized,667.0,400.0,21.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.0737327188940093,14007.0,0.08486005089058524,99.0,143.0,182.0
ANSI,70DFA279BC8646BB9186C383AC15A1B7,Steel SAE 1144,annealed,584.0,346.0,24.8,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.6912442396313363,14483.2,0.0743002544529262,127.0,127.0,247.0
ANSI,1EA0C63CE8E646B48BDD0A2CEB4F84AD,Steel SAE 1144,tempered at 400 F,876.0,627.0,17.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.0368663594470044,14892.0,0.11145038167938931,43.0,115.0,79.0
ANSI,DD26C8179B3E480496DF925718220483,Steel SAE 1340,normalized,836.0,558.0,22.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.8525345622119818,18392.0,0.10636132315521629,51.0,34.0,92.0
ANSI,279530D698244B6A8D45448148B661C9,Steel SAE 1340,annealed,703.0,436.0,25.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.23963133640553,17926.5,0.08944020356234096,86.0,44.0,158.0
ANSI,D39EB1FD3E0241B599A4E47F81CFAA23,Steel SAE 1340,tempered at 400 F,1252.5,867.5,11.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,13777.5,0.15935114503816794,1.0,148.0,6.0
ANSI,62DAD57F176D4491BCBF13927AB5486D,Steel SAE 3140,normalized,891.0,600.0,19.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.105990783410138,17552.7,0.1133587786259542,40.0,51.0,72.0
ANSI,849657544E284411BDFD5159978EE22F,Steel SAE 3140,annealed,689.0,422.0,24.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.175115207373272,16880.5,0.08765903307888041,90.0,61.0,167.0
ANSI,EF66164C6CFE430B937654F70E12D7EC,Steel SAE 4037,tempered at 400 F,1027.0,758.0,6.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.732718894009216,6162.0,0.13066157760814248,19.0,465.0,32.0
ANSI,1351D7DC9B18472F95F575337A1358B6,Steel SAE 4042,tempered at 400 F,1252.5,867.5,12.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,15030.0,0.15935114503816794,1.0,112.0,6.0
ANSI,E20EC626F1E841248C34272843C62F7B,Steel SAE 4130,normalized,669.0,436.0,25.5,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.0829493087557602,17059.5,0.08511450381679389,98.0,57.0,181.0
ANSI,99C77C3670B54339B60D684BA6E81764,Steel SAE 4130,annealed,560.0,360.0,28.2,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.5806451612903225,15792.0,0.07124681933842239,137.0,91.0,266.0
ANSI,8638842ED9F44FA2AD535A9429DE4BB3,Steel SAE 4130,tempered at 400 F,1252.5,867.5,10.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,12525.0,0.15935114503816794,1.0,176.0,6.0
ANSI,676EAF141CD24D92A7C598DFB07ADD96,Steel SAE 4140,normalized,1020.0,655.0,17.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,4.700460829493087,18054.0,0.1297709923664122,21.0,40.0,34.0
ANSI,F9992EBE68824E398334E26710CE817F,Steel SAE 4140,annealed,655.0,417.0,25.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.0184331797235022,16833.5,0.08333333333333333,102.0,63.0,188.0
ANSI,A7414D9AC1834478929B86F5EA58628D,Steel SAE 4140,tempered at 400 F,1252.5,867.5,8.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,10020.0,0.15935114503816794,1.0,288.0,6.0
ANSI,0CAC547704BE468E93FC049EC957CCBA,Steel SAE 4150,normalized,1155.0,734.0,11.7,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.32258064516129,13513.5,0.14694656488549618,8.0,155.0,16.0
ANSI,76B0AE8D9FC84B19B8C9777F23F7535C,Steel SAE 4150,annealed,729.0,379.0,20.2,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.359447004608295,14725.8,0.09274809160305343,78.0,121.0,142.0
ANSI,0A6487FACA444912BA9AD9187C817B9C,Steel SAE 4150,tempered at 400 F,1252.5,867.5,10.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,12525.0,0.15935114503816794,1.0,176.0,6.0
ANSI,900569479B7A433ABE2D53767A0878F2,Steel SAE 4320,normalized,793.0,464.0,20.8,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.654377880184332,16494.4,0.10089058524173028,60.0,75.0,108.0
ANSI,77BFFA21FE4744069205BF8C549141D0,Steel SAE 4320,annealed,579.0,425.0,29.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.6682027649769586,16791.0,0.07366412213740459,129.0,65.0,250.0
ANSI,689FB068F4FA47B2B368C374BFC50C29,Steel SAE 4340,normalized,1252.5,862.0,12.2,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,15280.5,0.15935114503816794,1.0,105.0,6.0
ANSI,51C972EA2EF04A728F9F537C74F69671,Steel SAE 4340,annealed,745.0,472.0,22.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.4331797235023043,16390.0,0.09478371501272265,73.0,77.0,134.0
ANSI,40312809F59B4904AE2865372AD4C1F5,Steel SAE 4340,tempered at 400 F,1252.5,867.5,10.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,12525.0,0.15935114503816794,1.0,176.0,6.0
ANSI,642039B632684DBB8C35AB46B2B30047,Steel SAE 4620,normalized,574.0,366.0,29.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.6451612903225805,16646.0,0.07302798982188295,131.0,71.0,254.0
ANSI,1A42AEA1CB5F426E8C626FFC15F9C53A,Steel SAE 4620,annealed,512.0,372.0,31.3,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,2.359447004608295,16025.6,0.06513994910941476,153.0,89.0,307.0
ANSI,86D694E8101348BEB38DD49AC88C20A3,Steel SAE 4820,normalized,755.0,484.0,24.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.47926267281106,18120.0,0.0960559796437659,70.0,38.0,128.0
ANSI,B46E961340E14196B2580DEBF16E0369,Steel SAE 4820,annealed,681.0,464.0,22.3,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,3.1382488479262673,15186.300000000001,0.0866412213740458,93.0,109.0,171.0
ANSI,4DA8385C719D4A69826B2611122C2C1A,Steel SAE 5046,tempered at 400 F,1252.5,867.5,9.0,217.0,207000,79000,0.3,7860,1300.0,Unknown,230.0,5.771889400921659,11272.5,0.15935114503816794,1.0,223.0,6.0
